sys.exec.out.time {s},dyn.V1.DM->lonx {1},dyn.V1.DM->latx {1},dyn.V1.DM->alt {1},dyn.V1.DM->_dvbi {1},dyn.V1.DM->_SBII[0] {1},dyn.V1.DM->_SBII[1] {1},dyn.V1.DM->_SBII[2] {1},dyn.V1.DM->_VBII[0] {1},dyn.V1.DM->_VBII[1] {1},dyn.V1.DM->_VBII[2] {1},dyn.V1.DM->thtbdx {1}
                29.2,   -120.522656455589,   34.68293714595963,   8593.859050783329,   585.0800492625663,   83934.00310991373,   5256840.938581361,   3614001.942069931,  -85.36423234312653,   455.0030043069864,   357.7762959632348,   60.38468806957216
                29.3,  -120.5229742941194,   34.68296956752724,   8651.619730400853,   586.8358989733512,   83925.56390246567,   5256886.515809919,   3614037.788269913,  -83.41880597057573,   456.5417513717235,   359.1480257341589,   60.31303014191584
                29.4,  -120.5232942309523,   34.68300220362042,   8709.587658288889,   588.6012998089323,   83917.31957224388,   5256932.246969057,   3614073.771740097,  -81.46668335051187,   458.0816201552092,   360.5217038079825,    60.2413623417216
                29.5,  -120.5236162724086,   34.68303505506152,   8767.763047359884,   590.3762879518134,   83909.27079008354,     5256978.1321723,   3614109.892676489,    -79.507841504247,   459.6226383816729,   361.8973539585058,   60.16976648330497
                29.6,  -120.5239404266714,   34.68306812267556,   8826.146114390343,   592.1609041468064,   83901.41822879182,   5257024.171536128,   3614146.151277544,  -77.54226355839475,   461.1648373033948,    363.275001338018,   60.09829969735286
                29.7,  -120.5242667000955,   34.68310140728964,   8884.737080334686,   593.9551922225953,   83893.76256264868,   5257070.365180278,   3614182.547744283,  -75.56993663884542,    462.708250606329,   364.6546720740208,   60.02700105205184
                29.8,  -120.5245951008924,   34.68313490973251,    8943.53617052082,   595.7591980529454,   83886.30446708568,   5257116.713227947,   3614219.082280379,  -73.59085037985808,    464.252913633201,   366.0363929831863,   59.95589658043154
                29.9,  -120.5249256354357,   34.68316863083432,   9002.543614805676,   597.5729688326954,   83879.04461849063,   5257163.215805922,   3614255.755092212,  -71.60499587914829,   465.7988628354695,   367.4201913692988,   59.88500301582307
                  30,  -120.5252583119549,   34.68320257142698,   9061.759647656232,   599.3965527079284,   83871.98369409314,   5257209.873044644,   3614292.566388948,  -69.61236518525635,   467.3461344766837,   368.8060962093285,   59.81433051266853
                30.1,  -120.5255931368427,   34.68323673234607,   9121.184508230537,   601.2299984110541,   83865.12237188639,   5257256.685078138,   3614329.516382772,  -67.61295076209363,   468.8947645027288,   370.1941378527344,   59.74388458080471
                30.2,  -120.5259301183338,   34.68327111442893,   9180.818440410309,   603.0733545092644,   83858.46133065107,   5257303.652044171,   3614366.605288716,  -65.60674428674662,   470.4447919981368,   371.5843426531587,   59.67366748551059
                30.3,  -120.5262692633013,   34.68330571850971,   9240.661692828871,   604.9266692344862,   83852.00125005213,   5257350.774084576,   3614403.833324238,  -63.59373638318774,   471.9962591735181,   372.9767327463742,    59.6036792542973
                30.4,  -120.5266105786211,   34.68334054541511,   9300.714518876746,   606.7899904492248,   83845.74281074724,   5257398.051345541,   3614441.200708821,   -61.5739165690212,    473.549210807906,   374.3713266944077,   59.53391838300856
                30.5,  -120.5269540725623,   34.68337559596063,   9360.977176719345,   608.6633656439228,   83839.68669449796,   5257445.483977836,   3614478.707663652,  -59.54727325156274,   475.1036937388934,   375.7681401089656,   59.46438232064586
                30.6,  -120.5272997515623,   34.68341087094761,    9421.44992928952,   610.5468418883114,   83833.83358428234,   5257493.072137013,   3614516.354411342,  -57.51379364163888,   476.6597568763282,   377.1671855495086,   59.39506781371896
                30.7,  -120.5276476239176,   34.68344637115896,   9482.133044291288,   612.4404657227059,   83828.18416443009,   5257540.815983664,   3614554.141175537,  -55.47346356247313,   478.2174517886629,   378.5684716135058,   59.32597114934461
                30.8,  -120.5279976960916,   34.68348209735773,   9543.026794184931,   614.3442836840012,   83822.73912072033,   5257588.715683503,   3614592.068180784,  -53.42626832778818,   479.7768288092737,   379.9720085552258,   59.25708831492468
                30.9,  -120.5283499764123,   34.68351805029034,    9604.13145619072,   616.2583424362206,   83817.49914041461,    5257636.77140716,   3614630.135652814,  -51.37219296460283,   481.3379359745449,    381.377809794973,   59.18841507067967
                  31,  -120.5287044713719,    34.6835542306898,   9665.447312270291,   618.1826887260363,   83812.46491228906,   5257684.983329968,   3614668.343818851,  -49.31122214153748,   482.9008192513215,   382.7858915606242,   59.11994701142891
                31.1,  -120.5290611893241,   34.68359063927874,   9726.974649115466,   620.1173693355414,   83807.63712667405,   5257733.351631756,   3614706.692907855,  -47.24334009107755,   484.4655228154833,   384.1962724595222,   59.05167960174352
                31.2,  -120.5294201367993,   34.68362727677175,   9788.713758153841,   622.0624310393584,   83803.01647550164,     5257781.8764967,   3614745.183150758,  -45.16853053629526,   486.0320893269737,   385.6089730598149,   58.98360821166359
                31.3,  -120.5297813221836,   34.68366414387748,   9850.664935510606,   624.0179205677886,   83798.60365235982,   5257830.558113172,   3614783.814780623,  -43.08677662704074,   487.6005601767001,   387.0240155145501,   58.91572813267653
                31.4,  -120.5301447520351,   34.68370124130024,   9912.828482014127,   625.9838845766031,   83794.39935255249,    5257879.39667363,     3614822.5880328,  -40.99806088717708,   489.1709756969796,   388.4414232400689,   58.84803459906659
                31.5,  -120.5305104347803,   34.68373856974131,   9975.204703169875,   627.9603696235811,   83790.40427316415,   5257928.392374522,   3614861.503145026,  -38.90236517102667,   490.7433753354713,   389.8612206493913,   58.78052279320987
                31.6,  -120.5308783770147,   34.68377612989999,   10037.79390915763,   629.9474221504091,   83786.61911312901,   5257977.545416199,   3614900.560357524,  -36.79967062913452,   492.3177977953864,   391.2834329350451,   58.71318785989751
